city_slug,challenge_date,question_order,difficulty,question_text,fun_fact,is_published
bangkok,2026-07-03,6,hard,"What is the local Thai name often used for Bangkok?","Krung Thep is the commonly used Thai short name for Bangkok, from a much longer ceremonial name.",true
bangkok,2026-07-03,7,hard,"Which Bangkok area is famous for backpacker nightlife around Khao San Road?","Banglamphu is the historic neighborhood around Khao San Road, long popular with budget travelers.",true
lisbon,2026-07-04,1,easy,"Which bright yellow vehicle is a classic symbol of Lisbon's steep streets?","Lisbon's vintage trams climb narrow hills and are one of the city's most beloved icons.",true
lisbon,2026-07-04,2,easy,"Which Portuguese custard tart is especially famous in Lisbon?","Pastel de nata has flaky pastry and creamy custard, often topped with cinnamon or powdered sugar.",true
lisbon,2026-07-04,3,medium,"Which Lisbon neighborhood is known for narrow lanes and fado music?","Alfama is one of Lisbon's oldest neighborhoods, with winding streets and intimate fado houses.",true
lisbon,2026-07-04,4,medium,"Which river meets the Atlantic Ocean beside Lisbon?","The Tagus River widens near Lisbon before reaching the Atlantic, creating dramatic waterfront views.",true
lisbon,2026-07-04,5,medium,"Which historic tower stands near the Belém waterfront?","Belém Tower was built in the early 1500s and guarded Lisbon's river entrance.",true
lisbon,2026-07-04,6,hard,"Which Lisbon elevator connects Baixa with the higher Carmo area?","The Santa Justa Lift is an iron elevator designed in the early 20th century to connect two city levels.",true
lisbon,2026-07-04,7,hard,"Which blue-and-white tiles decorate many Lisbon buildings?","Azulejos are painted ceramic tiles that add color, pattern, and history to Portuguese buildings.",true
mexico-city,2026-07-05,1,easy,"Which ancient city of pyramids is a popular day trip from Mexico City?","Teotihuacan is known for the Pyramid of the Sun and Pyramid of the Moon, just outside the modern capital.",true
mexico-city,2026-07-05,2,easy,"Which handheld food is made with a tortilla and fillings like al pastor?","Tacos are a Mexico City staple, from street stands to late-night taquerias.",true
mexico-city,2026-07-05,3,medium,"Which huge central square is the historic heart of Mexico City?","The Zócalo is one of the world's largest city squares and sits beside major civic and religious landmarks.",true
mexico-city,2026-07-05,4,medium,"Which artist's blue house museum is in Coyoacán?","Frida Kahlo's Casa Azul preserves the artist's home, studio, and personal objects.",true
mexico-city,2026-07-05,5,medium,"Which park is often called the lungs of Mexico City?","Chapultepec is a vast urban park with museums, a castle, lakes, and tree-lined paths.",true
mexico-city,2026-07-05,6,hard,"Which ancient Mexica temple ruins sit near the Zócalo?","Templo Mayor was once a central temple of Tenochtitlan, the Mexica capital beneath today's city center.",true
mexico-city,2026-07-05,7,hard,"Which canal neighborhood is known for colorful trajinera boats?","Xochimilco's canals preserve traces of an ancient lake system and are famous for brightly painted boats.",true
